	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE E1 Aroclor 1260 200mg/kg"	"TE E3 Aroclor 1260 200mg/kg"	"TE C2 Wy-14643 50mg/kg 48hrs"	"TE C1 Wy-14643 50mg/kg 48hrs"	"TE C3 Wy-14643 50mg/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE D1 PBDE 2mg/kg 48hrs"	"TE D3 PBDE 2mg/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"	"TE E2 Aroclor 1260 200mg/kg 48hrs"	"TE D2 PBDE 2mg/kg 48hrs "
35041_Glb1l	0.195548	0.287134	0.218779	0.431093	-0.00853707	-0.0313613	0.866296	0.0373958	0.27705	0.261539	-0.137384	0.326599	0.658763	0.702471	0.300073
35054_Hamp	0.00419142	-0.0360553	0.297701	-0.306279	0.103109	-0.030028	0.0340799	-0.0684862	0.123032	0.204156	-0.619488	0.0417728	-0.86564	-0.513173	-0.250245
35095_Pitpnc1	-0.972326	-0.42927	-0.348491	-0.217309	-0.411816	-0.0787948	-0.724032	-0.625316	-0.32585	-0.363669	-0.700676	-0.642983	-0.13589	-0.148564	-0.691604
35102_Cyp4a10	-0.195207	-0.0280256	-0.317764	-0.344118	0.386708	0.854838	0.644186	-0.694893	-0.297359	-0.751734	-0.201117	-0.103574	0.0206924	-0.434569	-0.489595
35672_Rps4x	-0.265773	-0.566544	-0.372279	0.102206	-0.384571	-0.219176	-0.248632	-0.500794	-0.317575	-1.11964	-0.111486	-0.162302	-0.0312543	-0.233022	-0.365143
35985_Hamp2	-0.370362	-0.32949	0.100949	-0.379835	-0.0762114	-0.195601	-0.52317	-0.993688	-0.701356	-0.175859	-0.172408	-0.2388	-0.792983	-0.446723	-0.414613
36079_A_51_P278353	-0.137148	-0.356148	-0.293085	-0.00710631	-0.40596	-0.21664	-0.367165	-0.511781	-0.392242	-0.93795	-0.104191	-0.14968	0.0948489	-0.186761	-0.26695
36128_Nppa	-0.25271	-0.416289	-0.230004	0	-0.0684952	-0.119986	-0.255566	-0.447829	-0.161961	0	0	-0.809942	-0.0771452	-0.235365	0
36311_Hebp2	0.467666	0.368236	0.962218	0.285789	0.588803	0.077521	0.955021	0.56461	0.6707	0.463905	0.212324	0.689161	-0.0723673	0.260473	0.285547
36402_Fkbp5	-0.857769	-0.618683	-0.137966	-0.205314	0.123787	-0.0860815	-0.326308	-0.600249	-0.308153	0.0985977	-0.0816345	-0.500228	-0.244397	0.415689	-0.100402
36488_Cyp3a44	0.0889133	0.0468354	-0.0235073	-0.101654	-0.164568	-0.20486	-0.12644	-1.0334	-0.192226	-0.173658	-0.00574038	0.0837979	-0.110936	0.196572	-0.080097
36581_Grn	0.016239	-0.228612	-0.285014	-0.00459084	-0.115026	-0.325862	-0.11585	-0.356479	-0.254205	-1.02024	-0.167526	0.050998	-0.0891094	-0.373402	-0.290379
36627_Lars2	-0.508083	-0.807067	-0.5703	0.0940964	-0.367597	-0.578594	-0.490806	-0.60439	-0.389019	-1.02652	-0.181112	-0.239727	0.126043	-0.246863	-0.266558
37061_Cntnap5a	-0.054171	-0.403174	-0.565096	0.153494	-0.242147	-0.369431	-0.378457	-0.361391	-0.436747	0	0.494884	-0.841595	-0.259369	-0.0439319	-0.34674
37295_Tff3	0.889612	0.428323	1.01249	0.742873	0.304066	-0.0335029	0.0911841	0.876652	0.0660137	0.978047	0.354789	0.50413	0.0684777	0.635015	0.526159
37552_Tnfrsf11b	0.389266	0.324756	0.892657	0.0241985	0.275136	0.354709	0.679023	0.333438	0.749911	0.42429	-0.0167569	0.529807	0.126579	-0.0851105	0.215713
37722_A_52_P481302	-0.471335	-0.12693	-0.405475	-0.592204	0.494166	0.685497	0.595225	-1.1445	-0.715149	-1.185	-0.367194	-0.266228	-0.119684	-0.720026	-0.68939
38098_Arl15	-0.390634	-0.831579	-0.171768	-0.204085	-0.262881	-0.00309303	-0.498254	-0.312687	-0.255084	-0.0441394	-0.00894188	-0.0626096	-0.170998	-0.1237	-0.0197297
38709_Cyp1a2	0.449186	0.511245	0.220449	0.149374	-0.120307	0.14753	-0.100792	1.14001	1.12152	-0.15701	0.195484	0.318774	1.19697	0.299179	0.08618
38809_Osgin1	0.901106	0.547661	0.167498	0.222737	0.10297	0.147317	-0.0832074	0.092544	0.106704	0.0842988	-0.26618	0.489642	0.308439	-0.0757265	0.15877
39051_Col2a1	0.617801	0.360957	0.25624	0.084956	0.466794	-0.177314	-0.0911107	0.176473	0.159584	0.793663	0.042198	0.118957	-0.142509	-0.0769174	0.378235
39209_Ppp1r13l	-0.50589	-0.569708	-0.304899	0.396182	-0.34498	-0.0029059500000001	-0.233934	-0.443807	-0.18675	-0.809705	-0.00789388	-0.0173012	0.151924	0.0998375	-0.139232
39551_Fabp4	-0.0756127	-0.0817402	0.672981	0.0671805	0.798918	0.552392	1.11222	0.138511	0.199168	0.384137	0.396062	0.265728	0.114558	0.117757	0.207562
39650_Synpo	-0.415414	-0.676956	-0.46896	-0.075298	-0.584686	-0.424741	-0.468372	-0.668979	-0.58184	-1.28569	-0.217258	-0.218835	0.0999937	-0.337325	-0.425179
40022_Scrt1	-0.136646	-0.605217	-0.862871	-0.0723526	-0.3573	-0.44436	-0.511612	-0.585512	-0.278	-0.576495	-0.190508	-0.5834	-0.475594	-0.262663	-0.138243
40638_Cyp3a44	-1.67419	-1.77891	-1.37271	-1.0952	-1.7368	-0.532549	-1.54753	-2.14877	-1.56242	-1.60444	-1.2244	-1.60579	-0.67568	-1.32727	-1.71862
40705_Pygl	-0.870382	-0.0848396	-0.170387	-0.121188	-0.312586	-0.0573738	-0.622272	-0.57039	-0.187497	-0.191963	-0.743834	-0.15442	-0.0464985	0.00271697	-0.582489
40782_Col2a1	0.656919	0.345487	0.304866	0.111521	0.481869	-0.17734	-0.0500938	0.160613	0.138064	0.787612	0.0529766	-0.0163318	-0.152145	-0.0969138	0.417767
40971_Rhox6	-0.304992	0.477635	0.407953	0.626542	0	0.0549212	0.34725	0.236243	0.107453	0	0	-0.84004	0.115992	0	-0.330813
40992_Khsrp	-0.372433	-0.511926	-0.429455	0.0749096	-0.456261	-0.41475	-0.43574	-0.543345	-0.46767	-0.858377	-0.125063	-0.14457	-0.00394615	-0.169916	-0.284128
41241_Afp	0.0284282	0.13592	0.811073	0.244518	0.400749	0.394274	0.77079	0.541098	0.620143	0.551378	0.472897	0.469098	0.39696	0.38397	0.269065
41559_A_52_P462257	0.236656	-0.0404467	0.0784571	0.119099	0.152516	-0.0170377	0.13144	1.03004	0.329775	0.274762	0.138213	0.0181214	0.202953	0.198613	0.168639
41666_Gm1381	-0.850515	-0.590165	-0.318704	0.0269646	-0.679141	0.103783	-0.134193	-0.156673	-0.3117	-0.162597	0.0443267	-0.509366	0.36674	-0.0987115	0.0223364
42196_Nme4	0.249726	0.277759	0.590678	0.302789	0.46705	0.35729	0.906546	0.678016	0.711994	0.411984	0.406908	0.536195	0.584909	0.272329	0.391253
42443_A_52_P486910	-0.254096	-0.511844	-0.347249	0.00808794	-0.448536	-0.246388	-0.354853	-0.529759	-0.457366	-1.19447	-0.116852	-0.129201	0.161795	-0.270412	-0.340804
42577_Ptms	-0.349076	-0.569481	-0.445564	0.0675157	-0.41425	-0.582915	-0.420533	-0.532693	-0.433354	-0.954984	-0.14066	-0.183672	0.0460095	-0.169922	-0.324062
42804_Afp	0.0436674	0.11857	0.824885	0.262115	0.368231	0.37081	0.776682	0.553758	0.584857	0.548492	0.470644	0.385708	0.450227	0.403812	0.31551
43313_Cyp2c55	0.499103	0.339921	0.855621	0.622699	0.157878	0.188723	0.350703	0.0211833	0.625096	0.184656	0.360826	0.556316	0.475343	1.0795	0.367044
43724_A_52_P179599	-0.296132	-0.399198	-0.388648	0.355656	-0.245643	-0.491591	-0.297689	-0.377891	-0.356785	-0.8065	-0.0501353	-0.104758	0.158035	-0.0497163	-0.233075
44386_Insl6	-0.397546	-0.154404	0.152916	-0.00098234299999993	0.180799	0.00749388	0.501732	1.00412	0.87312	-0.00639074	0.240325	0.0936149	0.569442	0.0292583	-0.150377
44422_A_52_P311031	-0.363415	-0.419063	-0.400297	0.101249	-0.364604	-0.546355	-0.43584	-0.529071	-0.397801	-0.820328	-0.116998	-0.100607	0.0761052	-0.0990191	-0.188733
44840_Slc46a3	0.033333	0.143289	0.143979	0.199474	0.157146	0.401907	0.192195	0.889548	0.901274	0.346238	0.182707	0.139732	0.973912	0.146175	0.258794
44843_Tagln	-0.294441	-0.494141	-0.336261	-0.0598057	-0.417014	-0.273494	-0.343544	-0.442931	-0.37403	-0.906598	-0.129868	-0.156673	0.0361672	-0.331602	-0.30425
45034_Clcnka	-0.0910536	0.0199262	0.167834	0.100143	0.0437649	-0.0827222	0.154558	0.911388	0.883767	0.0931285	0.0931266	0.138934	0.244158	0.187796	0.119237
45099_Txndc3	0	-0.593031	-0.266913	0	-0.404663	-0.135225	-0.180298	-0.418168	-0.19524	0	0.767494	-0.822027	-0.269471	0	0
45116_Chad	-0.174281	-0.0936484	0.0777685	0.21981	-0.0481436	-0.0192105	0.161501	0.924571	0.890906	0.17188	0.0650902	0.105005	0.774109	0.251652	0.121785
