TE A1 Corn Oil 10 ml/kg 48hrs	TE A3 Corn Oil 10ml/kg 48hrs	TE B1 TCDD 10ug/kg 48hrs	TE B2 TCDD 10ug/kg 48hrs	TE A2 Corn Oil 10 ml/kg 48hrs    	TE B3 TCDD 10ug/kg 48hrs
22376_S100a10	-0.226631482917578	-0.21664036903085	-0.914723318826222	-0.961948199418747	-0.23934225794038	-1.02601521791456
28151_Nfe2l2	-0.219428459693206	-0.393724954679596	-1.07325285570755	-1.06595906594698	-0.30291150942906	-1.13275283065355
27178_LOC671973	-0.180512792853559	0.198624818294658	-0.958104168535886	-0.757563139835923	-0.0309168001629599	-0.905023445916349
19039_Fus	0.0729030297183301	-0.369667128867168	-1.11989247568639	-1.25495365126899	-0.342036155808641	-0.913366296915169
22024_4732419C18Rik	0.24340062809484	0.288493159389136	-1.27858103326563	-0.904842055354656	-0.400613764532003	-1.45244548981109
16801_Stx8	0.107612610625553	0.194492831257099	-0.856412966526335	-0.76993235138837	-0.0757420677952996	-0.843229787251305
30838_2310005N03Rik	0.101274607278772	0.320104247177949	-0.953814158176116	-0.772740602101511	0.0408488520982008	-1.16702260625264
21686_B3bp	-0.0725083002172453	-0.206724829739105	-0.745494780694547	-0.850584920732658	0.0528870005292464	-0.848600539745367
20926_1700009P17Rik	0.0551672114713021	0.221977314628103	-1.15489974058289	-0.714392760514302	-0.176811659159083	-0.955976163987412
6571_Dhps	-0.0805898799104383	-0.144208874149727	-0.794790260592717	-0.833037415580062	-0.160438239164413	-0.776471982084168
18701_Rpl36a	-0.0856799809039299	0.27926088895087	-1.01424614722051	-0.693512016101655	0.0333577368190538	-1.17055843661948
35656_Bzw1	-0.0965706616241976	-0.426249263024366	-1.63130776226084	-1.35707164230903	-0.597885878458773	-1.08014916747018
26972_Il1r1	-0.393432333341959	-0.54236179534163	-1.49610075735681	-1.32467844780863	-0.610089653009202	-1.53760745064311
25640_Nsun3	-0.137044613873129	0.0860347971732003	-1.05551198112055	-0.990998693143504	-0.524588425986198	-1.11517567961805
35985_Hamp2	1.23031523813132	1.09454305632648	3.3009588018238	2.32985298475995	0.793275835762744	2.63423413653818
40585_Gale	-0.145847292171533	-0.184281806062683	-0.865987209762937	-0.751681366173818	-0.140433717366785	-0.872878811031522
27025_Asrgl1	0.181204645469577	0.0538434132925823	-0.817536879197606	-0.803133691600182	-0.143286427901846	-0.770372029832069
21691_2810410C14Rik	0.207320574523954	0.348962246995671	-1.04562237363	-0.975165717464495	-0.207585450420538	-1.75709721329704
7782_2310022B05Rik	0.264162820766751	-0.00716055280552866	-0.916847548999994	-0.913609195300889	-0.389007748020944	-1.19749415936072
19287_9130430E04	-0.119229490605525	-0.315518851669587	-1.11581642706109	-1.26328245449828	-0.552355186509725	-1.05688182534186
19242_Coq7	0.419543398063808	0.0759898308125215	-1.21641353677172	-0.743293490758179	-0.121292216177542	-1.35909604555382
22887_Klhdc5	-0.173632578423659	-0.113897498468132	-0.881329340668573	-0.855933110026715	-0.0986001718019207	-0.675745445072069
39660_Ccnh	0.271281936173417	-0.212567184904147	-1.42149712275733	-1.35107651316577	-0.257976696437537	-0.719295518449586
28749_rp9	-0.0716059689748026	-0.0938259457091687	-1.04932520662357	-0.840674236937114	-0.042511294204331	-0.613363651661151
26111_Gng12	-0.0728793538717279	0.0917641263591369	-0.905779431045001	-0.600341816440532	0.100957026136105	-0.943953016619599
26724_Kcnn2	0.185488636495639	-0.242985013598603	-0.893782989653722	-1.00338794455938	-0.351463112726142	-0.92550416839851
11299_Polr2f	-0.132903644840291	0.18082725630027	-0.757265650544856	-0.718154902215504	0.0869867945293704	-0.940843243130299
7777_NAP057266-1	-1.27483470228119	0.213177959785881	-4.41507776681347	-5.71511321390173	-0.461804637087312	-1.95847086965408
23289_Rpl22l1	-0.845203710808953	-0.971027856726556	-2.53865190814086	-1.66381990171861	-0.599694782580766	-2.25997379430385
10170_Kcnn2	0.259821826152185	-0.245003315391619	-0.961261467189475	-1.00936912127244	-0.230355700358192	-0.783832063577419
9361_2310047O13Rik	-0.0117376416599496	0.0139168727912295	-0.790394406295602	-0.714485823997688	-0.282138719175361	-0.945711991165747
531_Rpl23	0.156502937509882	0.0861919476920237	-0.881585669941773	-0.635411933213162	-0.183454035828523	-0.982208737862923
21620_BC057079	0.265679330505234	0.0142122572422171	-0.890045594655863	-0.636916673958352	-0.0383118058868575	-1.01478930903945
40169_EG435336	-0.090832955033895	0.15441280290847	-1.07664820040649	-0.873265082505045	-0.139238035025541	-0.616242358476027
39207_Kcnn2	0.26162659676583	-0.285333987799268	-0.921060078708879	-1.10557516291996	-0.466320307683532	-1.14731432074802
11508_Hes6	-0.300727060837651	-0.101168622857087	-0.937531640584509	-0.942805653549557	0.428772223230789	-1.03310024841226
2094_Cth	0.122698267521583	-0.0100057426282599	-0.90714884175469	-0.681286767943634	-0.281839404418367	-0.868235190395257
23774_1700123O20Rik	-0.143717587128068	-0.0594744428059738	-0.818933983160858	-0.67767440234664	-0.153803010719506	-0.749526731056579
36528_Inmt	0.424173602096883	0.137868012416697	1.79562269005034	1.2938874414853	0.154394362819177	0.77397196211659
33784_Tmem110	0.240104655885122	0.247746044926524	-1.00449998191386	-0.681972080380838	-0.00785799088819186	-1.37607434796095
15499_Fkbp11	-0.464382134383848	-0.350931498593647	-1.20347524206322	-1.15999455413001	-0.585356080583713	-1.51748586845114
24072_Habp4	-0.319764935077922	-0.459465361898317	-1.0990649219864	-0.931083305441965	-0.312787051776403	-1.51040386921283
7235_2810432D09Rik	0.0811638482607314	0.280803209672019	1.0409322553018	0.684602666074644	0.188711822902229	0.867330475901941
43000_Polr2f	-0.120246649441556	0.114529453764083	-0.67402813448028	-0.733724929015198	-0.140011282653196	-0.806544853659747
9091_Kcnn2	0.319320953541447	-0.219478391029673	-0.951390270488809	-0.965972005741862	-0.282082368545044	-0.824466525844276
35191_Kcnn2	0.266401522224104	-0.219553794246385	-1.0011553368137	-0.911250777501247	-0.293613876168871	-0.788640866091624
37898_Cox19	-0.371074887250399	-0.0921432543917048	-0.898380134522782	-0.943578321401101	-0.35273592143464	-1.52745451225151
645_Triap1	0.601679050290309	0.463703191411573	-1.22760113982959	-1.04494449533568	0.212176364581606	-1.56921145767575
33466_LOC627873	-0.300205575662549	0.0893784708419318	-0.842152156767058	-0.775724360241688	-0.153448597931621	-0.789947724563094
17376_Acaa1a	-0.121656743904282	-0.180948388149339	1.43293047474741	0.947082264580163	0.267123890569891	0.70656146219202
40014_Kcnn2	0.226132424577333	-0.279922321541868	-0.953924210996357	-1.07361883451892	-0.459131330733821	-0.957172606884093
11725_Rdh11	0.284642608026495	-0.449874902669721	-0.805964135782731	-1.33942440523459	-0.306375834363523	-1.25334438971041
26209_Tubd1	0.00799064285502301	-0.249561563771397	-0.943837467669325	-0.846733936389909	-0.366126644146869	-0.825211672185939
28959_Rpl7l1	0.172567160077914	0.265827542911448	-0.946112031699032	-0.738270376046089	-0.258314285586339	-1.42269624445682
29244_Hyal5	0	0.0554549115053434	0.77794071312881	0.931278801906928	0.298416339979201	0.675551184696551
32102_Acaa1b	-0.0698653719660418	-0.0123299962610474	1.21669530038738	0.645000222558327	0.371579049965697	0.963585443238629
5310_ENSMUST00000025177	-0.248150088017751	-0.00905441899897064	-0.711493885941769	-0.757194442026407	-0.00790715240104163	-0.701368118596636
18435_Bloc1s1	-0.103629443608076	-0.109931651086821	-0.768122792846543	-0.583021028894097	-0.0935978773406044	-0.794059166006895
33375_Pmm1	0.452021642228264	0.186434135130658	-1.66618942472388	-1.33168210335913	-0.304551603164274	-0.741629737952099
